2020-04-12 10:07:40,519 [AUDIT] Token created by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 10:27:51,965 [AUDIT] Token created by 'jffe@000': tokenId='8df0a972-8adb-45a1-8344-46a1b070b596', issuer='jffe@000', subject='jffe@000', expiry=1586687871962, refreshable=false
2020-04-12 10:27:51,966 [AUDIT] Token created by 'jffe@000': tokenId='ed69171f-76f8-4371-ac95-a9c153344c24', issuer='jffe@000', subject='jffe@000', expiry=1586687871964, refreshable=false
2020-04-12 10:27:51,967 [AUDIT] Token created by 'jffe@000': tokenId='1f7bb980-3075-45f0-9e75-b66df95de6e9', issuer='jffe@000', subject='jffe@000', expiry=1586687871964, refreshable=false
2020-04-12 10:27:51,968 [AUDIT] Token created by 'jffe@000': tokenId='078d054e-adba-4bac-9869-6d56aa08a0ca', issuer='jffe@000', subject='jffe@000', expiry=1586687871964, refreshable=false
2020-04-12 10:27:56,039 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='b96e1c60-30be-4ca7-a50e-0751efbe1fca', tokenId='90a60d58-78b4-44b9-abe7-aa2a92225060', issuer='jffe@000', subject='admin', expiry=1586689076036, refreshable=true
2020-04-12 10:27:56,039 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='b96e1c60-30be-4ca7-a50e-0751efbe1fca', tokenId='9c5b95b8-2103-45c4-906c-31c583e458e6', issuer='jffe@000', subject='admin', expiry=1586689076037, refreshable=true
2020-04-12 10:27:56,039 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='b96e1c60-30be-4ca7-a50e-0751efbe1fca', tokenId='52a248b8-d7ff-4f43-9834-23fa83acc632', issuer='jffe@000', subject='admin', expiry=1586689076037, refreshable=true
2020-04-12 10:28:34,488 [AUDIT] Token created by 'jffe@000': tokenId='a9c34296-1605-482a-8bea-2dcf30e60f89', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586687914476, refreshable=false
2020-04-12 10:32:56,091 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='52a248b8-d7ff-4f43-9834-23fa83acc632', tokenId='6aed6cde-dbac-4ba7-9ba6-26d9bce0dbf8', issuer='jffe@000', subject='admin', expiry=1586689376087, refreshable=true
2020-04-12 10:32:56,091 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='52a248b8-d7ff-4f43-9834-23fa83acc632', tokenId='8574f3dd-6b9b-4f1c-b177-487698a17cce', issuer='jffe@000', subject='admin', expiry=1586689376089, refreshable=true
2020-04-12 10:32:56,091 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='52a248b8-d7ff-4f43-9834-23fa83acc632', tokenId='8d4fe08d-0ef7-440b-a14c-d3d6aafd15cd', issuer='jffe@000', subject='admin', expiry=1586689376089, refreshable=true
2020-04-12 10:33:33,998 [AUDIT] Token created by 'jffe@000': tokenId='c74bb170-4320-4f30-ab2a-432c0abea8b3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586688213996, refreshable=false
